order,Delay,Test.Time,Prolific.ID,Participant.Private.ID,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,answer,original_response,lure_recalled,intrusions
548,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,rough,NA,0,4
549,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,needle,needle,1,4
550,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,rubbish,NA,0,4
551,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,anger,NA,0,4
552,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,soft,NA,0,4
553,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,city,NA,0,4
554,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,cup,NA,0,4
555,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,cold,cold,1,4
556,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,mountain,NA,0,4
557,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,slow,NA,0,4
558,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,river,NA,0,4
559,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,spider,NA,0,4
560,delay,AM,,8060308,Chrome 109.0.0.0,1536x864,1536x864,foot,NA,0,4
721,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,window,window,1,12
722,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,sleep,NA,0,12
723,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,doctor,NA,0,12
724,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,smell,NA,0,12
725,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,chair,chair,1,12
726,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,smoke,NA,0,12
727,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,sweet,sweet,1,12
728,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,rough,NA,0,12
729,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,needle,NA,0,12
730,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,rubbish,NA,0,12
731,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,anger,NA,0,12
732,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,soft,NA,0,12
733,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,city,NA,0,12
734,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,cup,NA,0,12
735,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,cold,cold,1,12
736,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,mountain,moutain,1,12
737,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,slow,NA,0,12
738,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,river,NA,0,12
739,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,spider,NA,0,12
740,delay,AM,,8077532,Chrome 109.0.0.0,1366x768,1366x768,foot,NA,0,12
901,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,window,NA,0,7
902,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,sleep,NA,0,7
903,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,doctor,NA,0,7
904,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,smell,NA,0,7
905,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,chair,chair,1,7
906,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,smoke,smoke,1,7
907,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,sweet,NA,0,7
908,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,rough,NA,0,7
909,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,needle,NA,0,7
910,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,rubbish,NA,0,7
911,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,anger,NA,0,7
912,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,soft,NA,0,7
913,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,city,NA,0,7
914,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,cup,NA,0,7
915,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,cold,NA,0,7
916,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,mountain,NA,0,7
917,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,slow,NA,0,7
918,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,river,NA,0,7
919,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,spider,NA,0,7
920,delay,AM,,8137764,Safari 16.3,1440x900,1440x900,foot,NA,0,7
1261,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,window,NA,0,0
1262,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,sleep,NA,0,0
1263,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,doctor,NA,0,0
1264,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,smell,NA,0,0
1265,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,chair,NA,0,0
1266,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,smoke,NA,0,0
1267,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,sweet,NA,0,0
1268,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,rough,NA,0,0
1269,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,needle,NA,0,0
1270,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,rubbish,NA,0,0
1271,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,anger,NA,0,0
1272,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,soft,NA,0,0
1273,delay,AM,,8169101,Firefox 110.0,2560x1440,2560x1440,city,NA,0,0
